old	new	subject
5c4844e	d2b5604	fix(content): date migrated posts by notebook entry; the CNN ending no longer promises an unwritten article
51ce3f4	c40cac1	fix: full page load on language switch (no client remount of theme script), scroll-behavior hint; move language and theme controls to the footer
3df173b	9c2ed7f	feat(post): train a transformer from scratch in the browser (№ 004)
aa4d701	04afe76	feat(ui): adopt Launch UI primitives (footer, navbar, section, glow, glass/fade utilities); rebuild footer; segmented theme switch
50cbd6d	d9f2ca3	feat(search): full-text index served statically and loaded on demand; ranked CJK-friendly matching with highlighted snippets and section deep links; redesigned palette
4a68ffb	9dfb7d0	feat(transformer): make the instrument self-explanatory — task example, live pop quiz, optional own problem, attention caption that reads the map only when the claim holds
4c8ffa8	a73b692	refactor(transformer): drop the pop quiz; the task card now shows the model's live answer
3f40f30	f192420	fix(home): hero glow read as a cut-off shape — replace with an eased, self-contained elliptical glow; clip decorative overflow at the full-width main
dc2d7f2	cb5eee3	feat(header): phone layout — menu left, mark centred, search and preferences in a restyled left drawer; pointer cursor on the search field; un-nest nav landmarks
98187bf	4297dd2	feat(header): search icon back on the right of the phone header; drawer keeps navigation and preferences
19ce775	980fe1b	chore: take the canonical origin from Vercel's production domain unless NEXT_PUBLIC_SITE_URL is set
a8e667b	896bbd0	feat(ml): image ops for the autodiff engine — conv2d, maxPool2, upsample2, bceWithLogits, mse
86228c4	0f765a6	perf(site): system CJK fonts, idle model load, AA-contrast code theme; view transitions; axe on every page
2d54ca6	2aabdc0	feat: OG images for the site and every post (subsetted CJK font, no-tofu fallback); decorative UI from the profile banner — viewfinder corners on instruments, fading hero grid, See→Think→Act topic rail
5db09c2	ed31e69	Merge pull request #1 from PSheon/dev
0818a8b	bbd6bbb	docs(research): HydraNet article research — box-head designs measured over 3 seeds, article outline, emoji data pitfalls
e053013	2c0788f	feat(ml): ops for an integral box head and U-Net skips — concatRows, sliceRows, marginal, softmax, l1 (all gradient-checked, plus the composed head end to end)
2002789	8b99d95	feat(hydranet): scene annotation and a two-headed model with an integral box head
69139ef	b426131	feat(hydranet): emoji scene source with a no-colour-font fallback; draft article hosting a measuring instrument
8020b46	260a441	docs(research): № 006 topic choice and Lite3 feasibility spike
0fc2341	0193f2e	feat(post): draft of № 005 — a two-headed HydraNet trained on emoji fruit in the browser (zh + en)
c17fe6c	443998b	perf(site): load the search palette, mobile drawer and hero classifier on demand; fix heading order
a05198a	8ecebdb	feat(lite3): spike the official Lite3 walking policy on MuJoCo WASM, loaded on request
58d27a1	2162b48	feat(lite3): spike a Three.js chase-camera view with the real Lite3 meshes; friction result verified
330d96f	f754df7	docs(research): instrument design proposal for the Lite3 article
6993806	a458365	docs: handoff notes for the next main session
86fada6	ebbb6c0	feat(lite3): first zh draft of № 006 around the measured results
3e03e71	1f10e99	feat(lite3): latency, noise and friction knobs in the simulator; re-measure the article's numbers on the shipped meshes
8dca8e8	9061cd5	feat(lite3): one shared simulator for the whole article; instruments 01 (remote) and 02 (senses)
960420c	2b10520	feat(lite3): instruments 03 (PD gains), 04 (push) and 05 (latency, noise, friction) on the shared simulator
3baf697	c97d011	feat(hydranet): publish № 005, the emoji-fruit HydraNet (zh + en)
84a5cc5	98f4fcd	feat(lite3): publish № 006, the Lite3 robot dog walking in the browser (zh + en)
81256bd	b8e1e83	Merge pull request #2 from PSheon/dev
e11e32b	12546c3	feat(seo): hreflang with x-default, the feed link and Open Graph basics on every page; richer BlogPosting data
db410b7	f220704	feat(seo): short titles and descriptions for search results; spread the articles' dates; site-verification hooks
1357119	4da5849	Merge pull request #3 from PSheon/dev
a488eaa	5626f0e	feat(fly): spike a connectome-wired motion network in TypeScript
88c3b08	823bede	feat(fly): spike ON/OFF moving-edge stimuli; T4 comes out ON-selective, T5 does not become OFF-selective
46630cb	bd9380d	feat(fly): spike a draft page with a throwaway instrument
962139f	f98d464	docs(fly): add a plain-language section on the male CNS connectome
